method,params,sample,ari,nmi
bktree,th7_n30000,SRR8283831,0.8314612004791053,0.9792160842353513
bktree,th7_n20000,SRR8283831,0.828297220195547,0.9816968442202003
bktree,th7_n50000,SRR8283831,0.8281511931331027,0.9774585575715492
bktree,th7_n10000,SRR8283831,0.8237152110798447,0.9847454260333403
bktree,th7_n40000,SRR8283831,0.8178356592747204,0.9778584426199444
bktree,th7_n60000,SRR8283831,0.828548187385288,0.9774756009327512
