sample,num_seqs,junction_len_mean,junction_len_std,junction_len_median,mutation_mean,mutation_std,unique_v_genes,unique_j_genes
NBD4967,6358,49.91774142812205,12.545866636706322,48.0,21.199591066373074,12.200282626541707,213,14
NBD5146,5814,49.393704850361196,14.383206284307763,48.0,25.64516683866529,12.472153598207635,257,14
NBDQ9P,6122,50.88778177066318,12.235330036704449,51.0,22.934335184580203,11.75232896893711,195,15
NBD5403,5723,48.96749956316617,12.633474415157904,48.0,23.679713437008562,13.839696884125276,227,15
NBD4681,5944,51.08967025572005,14.312462288914952,51.0,24.620962314939433,13.170410214396258,230,15
NBD5273,6554,52.914708574916084,13.313172036977173,51.0,22.967195605736954,12.45630205422347,207,15
NBD5499,6337,50.428909578664985,13.08931671570966,48.0,22.642417547735523,12.99540831741585,205,15
NBD5492,6536,52.39274785801714,12.862719427513117,51.0,19.96328029375765,12.143676899573675,201,15
